id,title_simplified,one_sentence_summary,modern_news_angle,main_conflict,emotional_hook,account_column,video_title_angles,risk_notes,visual_notes,production_priority,production_reason
zby-v04-017,雷诛营卒,一名军卒二十年前强暴女尼致其误借男裤，引发一连串冤案致三人死亡，终遭天雷击毙。,性侵引发的连锁悲剧：古代版‘一个谎言毁掉多个家庭’,个人恶行（性侵）与无辜者蒙冤死亡之间的因果报应,无辜少妇被丈夫误会自缢、孩子被杖毙、施暴者多年后遭雷劈——极端不公与天理昭彰的强烈对比,古代社会新闻·奇案追踪,"[""二十年前的一次强奸，害死三条人命"", ""雷劈恶卒！古代天谴实录"", ""借错一条裤子，全家惨死：离奇冤案始末""]",涉及性侵、自杀、暴力，需淡化细节，聚焦因果逻辑与警示意义,可表现雷雨夜、军营、田舍、女尼奔逃、夫妻争执、上吊场景（剪影处理），避免直接暴力画面,推荐,情节紧凑、因果清晰、具社会警示性，符合短视频传播逻辑
zby-v05-022,奉行初次盘古成案,浙人方文木漂流至毗骞国，听长头王揭示宇宙每十二万年循环一次，万事皆照第一次盘古开天时的‘成案’重复上演。,宿命论终极解释：你的命运早在十二万年前就写好了,人类自由意志与宇宙机械循环宿命之间的哲学冲突,人生如傀儡，连眼泪都是剧本——对命运无力感的极致表达,志怪哲思·宇宙冷知识,"[""你的命运是抄来的？十二万年轮回真相"", ""盘古不止一个！宇宙竟是复刻版"", ""连哭泣都是安排好的：最绝望的宿命论""]",内容抽象玄奥，易被误解为宣扬消极宿命，需谨慎解读,适合用动画表现多重宇宙、循环时间轴、傀儡丝线、巨大宫殿与长头王形象,谨慎,思想深刻但缺乏具体事件冲突，受众理解门槛高，传播效果不确定
zby-v09-002,掘冢奇报,盗墓贼朱某受乩仙指引掘墓，棺中青臂突现，抓走助咒僧人并生食，最终朱某败露自尽。,盗墓反噬实录：挖到‘活尸’吃人，团伙覆灭,人为贪欲挑战禁忌（盗墓）与超自然复仇力量的对抗,血腥恐怖+因果报应，满足猎奇与道德审判双重心理,志怪惊悚·盗墓禁忌,"[""盗墓挖出吃人僵尸！现场血肉横飞"", ""乩仙指路去送命？真实盗墓惨案"", ""石棺伸出青色巨手，当场抓人撕碎""]",含食人、暴力、恐怖元素，平台可能限流，需控制画面尺度,可营造深夜墓地、塔影、枯井、石棺开启瞬间、青臂特写（避免过度血腥），用音效强化惊悚感,强烈推荐,情节离奇、节奏快、视觉冲击强，高度契合志怪短视频爆款特征
zby-v09-007,莆田冤狱,豪强伪造地契夺田，诬陷邻妇之子弑母，城隍庙审案时泥塑皂隶自动拦人，冤情得雪。,古代‘神明干预司法’：泥塑衙役突然动了，救下冤死之人,权势构陷与神明显灵之间的正义对决,儿子被诬杀母、即将凌迟之际，城隍显灵逆转生死——极致冤屈与神迹救赎,古代社会新闻·奇案追踪,"[""儿子被诬杀母，城隍爷亲自出手翻案"", ""泥塑衙役突然移动，拦下死刑犯！"", ""豪强夺地杀人，城隍庙塌墙示警""]",涉及司法腐败、酷刑、诬告，但结局正义，风险可控,可表现城隍庙场景、泥塑移动特效、豪强嚣张与囚犯悲鸣对比，突出戏剧转折,强烈推荐,案件典型、神迹明确、正义伸张，兼具社会批判与神秘色彩，传播性强
zby-v09-017,裹足作俑之报,李后主因首创缠足，死后被罚在阴间织百万双鞋赔偿受害女性，连张献忠截足受害者也来控诉。,缠足千年罪魁祸首是谁？阴间判决书曝光,文化陋习始作俑者与无数受害者之间的跨时空追责,女性集体喊冤、阴司判罚、历史人物承担文化罪责——性别议题与因果报应结合,古代社会新闻·陋习溯源,"[""李后主阴间打工：织鞋百万赎罪"", ""缠足害惨女人，李煜死后被罚赔鞋"", ""张献忠砍下的小脚，竟要李后主负责？""]",涉及性别压迫、身体伤害，需强调批判立场，避免美化缠足,可用梦境场景、阴司法庭、堆积如山的小脚、织鞋劳作等意象，避免直接展示缠足过程,推荐,将文化批判融入志怪叙事，视角独特，具现实反思价值
zby-v10-011,王莽时蛇冤,清代举人沈昌谷被峨眉山蟒蛇附身索命，揭露其前世在王莽时期参与杀蛇的因果报应。,跨越两千年的‘复仇’：前世杀蛇今生遭报，是迷信还是心理投射？,人与修炼成精的动物之间的因果恩怨，跨越多世未能化解。,宿命难逃的恐惧感与轮回转世的神秘感交织，引发对善恶报应的思考。,古代奇案·因果轮回,"[""他杀了条蛇，2000年后被找上门！"", ""举人临终自述三世轮回，真相惊人"", ""峨眉山巨蟒复仇记：一场跨越朝代的冤案""]",涉及轮回、附体等超自然内容，需标注“故事演绎，非科学事实”；避免渲染迷信。,可设计王莽时代山洞杀蛇、清代书斋附身、僧人现身等场景，用光影对比强化时空穿越感。,强烈推荐,情节完整、冲突强烈、时空跨度大，具备强戏剧性和话题性，适合短视频叙事结构。
zby-v11-019,冤鬼戏台告状,广东戏班演《乌盆记》时真有冤鬼现身，借包公戏角色引官府破获一桩埋尸灭迹的谋杀案。,现实版‘乌盆记’：冤魂借戏申冤，竟真破获尘封命案,冤死者无法发声 vs. 司法系统对超常线索的怀疑与验证,弱者死后仍不放弃申冤，借一句戏言实现正义，令人唏嘘又振奋。,古代社会新闻·奇案实录,"[""演包公戏，真来冤鬼了！"", ""埋在富婆坟上的无名尸，靠一场戏曝光"", ""凶手说‘除非包公再世’，结果真灵了""]",涉及鬼魂显灵，需明确为志怪故事；避免引导观众相信灵异破案。,戏台灯光昏暗、披发鬼影跪地、县令开棺验尸等画面具强视觉冲击力。,强烈推荐,真实感强（有具体时间地点人物）、破案逻辑清晰、与经典戏曲互文，极易引发传播。
zby-v12-018,梦中破案,两名老者梦中谈论一桩失踪案，被差役偷听后循线索破获谋财害命案。,离奇！两人做同一个梦，竟破解半年悬案,司法无力追凶 vs. 超常信息（梦境）意外提供关键线索,绝望中的转机来自不可思议的‘同步梦境’，凸显天理昭彰的民间信念。,古代奇案·冥冥之中,"[""两个老头做梦聊天，破了命案！"", ""青骡主人失踪半年，答案藏在别人梦里"", ""差役夜守凉亭，听见梦中真凶""]",强调“传说”属性，避免暗示梦境可作为破案依据；需注明史料来源模糊。,月夜凉亭对话、城门缝隙穿行、梦醒后惊愕表情等场景适合悬疑氛围营造。,推荐,情节巧妙，有悬疑感和反转，虽涉梦境但破案过程合理，符合短视频猎奇+推理需求。
zby-v14-007,许氏女报奶娘仇,杭州四十日女婴暴亡，魂附婢女控诉奶娘疏忽致其被煞神冲撞而死，并扬言自行报仇。,婴儿猝死，灵魂附体指认‘责任人’：是冤魂索命还是家庭推责？,婴儿夭折责任归属 vs. 超自然归因掩盖现实照护失职,幼小生命无辜夭折，死后仍执着讨说法，触动亲子保护本能。,古代育儿奇谈·婴灵传说,"[""40天女婴死后附身小婢：我要找奶娘算账！"", ""被煞神冲死？婴儿托梦喊冤"", ""她死前躺在台阶上，奶娘却在睡觉…""]",涉及婴幼儿死亡与灵异报复，易引发不适；需谨慎处理，避免渲染恐怖或指责特定职业（如奶娘）。,红肿婴儿、阴森大厅、纸船焚烧等意象需淡化血腥，侧重哀怨氛围。,谨慎,篇幅短、情节单薄，且核心依赖‘煞神冲犯’等难以视觉化又敏感的民俗概念，传播风险较高。
zby-v16-004,雀报恩,盲人周之庠因常年喂雀，死后被群雀救回阳间并复明，报答其放生之德。,他喂了一辈子麻雀，死后被鸟群救活还重见光明！,善行是否真有回报 vs. 死亡与重生的边界,微小善举换来生死相救，传递温暖与希望，极具治愈感。,古代奇谈·万物有灵,"[""他瞎了还喂麻雀，结果鸟群救他一命！"", ""死后走阴间，亿万麻雀为他打架"", ""放生得福报？盲人死而复生的真实故事""]",强调“志怪寓言”性质，避免宣扬放生=免死；注意动物保护立场，勿鼓励盲目投喂野生动物。,可呈现黑暗阴间、群雀如云遮天蔽日、啄击鬼差等奇幻画面，视觉表现力强。,推荐,主题积极、画面感强、情感正向，符合短视频正能量+奇观需求，且无敏感争议点。
zby-v17-008,雷诛王三,恶讼棍王三冒充新郎奸污弟媳，又盗尸再淫，终遭雷劈而死。,冒名顶替+性侵+盗墓，古代版连环恶性犯罪被天谴制裁,恶人利用法律漏洞与亲情信任实施性侵与亵渎尸体，最终遭超自然惩罚,新娘误认奸夫为夫君，羞愤自尽；死后又被掘棺受辱，引发观众强烈共情与愤怒,古代奇案/天理昭彰,"[""冒充新郎睡弟媳，还挖坟奸尸？雷劈当场！"", ""古代最恶讼棍：骗婚、盗尸、奸尸，一道雷终结"", ""新娘自尽后竟被挖出奸污，天打雷劈恶人现世报""]",涉及性侵、盗尸、自杀等敏感内容，需淡化细节，聚焦因果报应主题，避免具体描写暴力过程,可用剪影、背影、雷电特效表现关键场景；新娘红衣与棺木形成视觉对比；结尾雷击用音效与闪光暗示,强烈推荐,情节紧凑、冲突强烈、结局爽快，符合短视频‘恶有恶报’的传播逻辑，且有明确道德立场
zby-v17-021,采战之报,男子修习房中术害人无数，求仙反被美尼设局榨干精元而死。,伪养生大师沉迷邪术，遇‘女仙’反被套路致死,以邪术纵欲者妄图求道长生，反被伪装成仙人的复仇者设计反杀,表面是求道奇遇，实则是因果报应——受害者（妓妾）未现身，但施害者自食其果,志怪警示录/邪术现世报,"[""练房中术害人无数，求仙却被‘女仙’榨干致死"", ""他靠铅条练‘运剑术’，结果被美尼一招反杀"", ""伪养生男求长生，反被‘仙姑’设局精尽人亡""]",涉及性修炼、丹药、性行为暗示，需高度隐喻化处理，避免具体描述‘采战’细节，可转化为‘邪术害人终害己’寓言,用烟雾、光影、古画风格表现白云观场景；美尼衣袂飘动可用慢镜头；结局破屋苏醒用冷色调对比前期幻想,谨慎,主题涉及敏感性修炼内容，虽有警示意义，但易被误读或触发平台审核，需极克制表达
zby-v18-010,处州溺妇奇狱,丈夫寻妻不见，只在棺中发现白须男子手持妻子红裙，活人失踪死人失棺，官府难断奇案。,妻子如厕失踪，棺材里惊现陌生男人和她的裙子！古代悬案至今未解,活人离奇消失 vs 死人棺木被侵，真相不明导致两方控告无果,妻子凭空消失，仅留半幅红裙在外，丈夫救妻心切却揭开更诡异谜团,未解奇案/志怪悬疑,"[""上厕所的妻子消失了，棺材里只有个白胡子男人！"", ""红裙露在棺外，打开却不见人！古代最诡异失踪案"", ""丈夫寻妻闯棺材，结果发现死人棺里有活人痕迹？""]",无直接暴力或色情，但涉及尸体、失踪、疑似性侵暗示（持裙），需避免过度联想，聚焦悬疑与司法困境,半塘桥、攒屋、红裙外露可做强烈视觉符号；棺材开启用悬念剪辑；白须男子形象可模糊处理为剪影,推荐,短小精悍、悬念十足，符合‘古代未解之谜’类短视频调性，安全且具讨论空间
zby-v18-036,颜渊为先师判狱,书生死而复生，自称经颜渊等先师审判减刑，因生前陷害道士致死，终难逃早夭命运。,书生死后游地府，孔子弟子亲自审案！但因生前作恶仍难逃早死,阴间给予改过机会 vs 阳世继续作恶，最终天理难违,母亲哭劝‘速归改过’，父亲拒认逆子，亲情与天理交织的悲情审判,阴间审判录/儒门志怪,"[""死后见颜渊审判！书生获五年改过期，却仍早死"", ""阴间给机会改过，他却陷害道士致死，终难逃天罚"", ""孔子弟子亲自断案：这书生该不该死？""]",涉及阴间、鬼神、儒家圣贤，需注意宗教与历史人物表述分寸，避免戏谑；陷害致死情节需弱化细节,学宫、名宦祠可用古建实景；阴间场景用青灰色调；母泣父拒可做情感高潮点,推荐,融合儒教元素与志怪审判，既有文化深度又有因果报应主线，适合知识类账号延伸
zby-v19-025,冤鬼错认,男子夜归遇鬼差抓错人，因及时自报名讳被放回，次日才知同行者已死。,深夜回家被鬼抓走！只因说错名字差点替死，真实经历细思极恐,活人误入阴差索命现场，靠身份澄清逃过一劫,日常通勤突遇灵异事件，朋友已死却不知，营造强烈现实代入感与恐怖氛围,民间撞鬼实录/阴阳边界,"[""晚归被鬼拖下水！只因他说对了全名才捡回命"", ""朋友拉我去苏州，第二天他却死了…原来那晚是鬼"", ""桥边问姓名不能只说姓！古代保命禁忌真有用？""]",涉及鬼魂、死亡、中风猝死，但无血腥暴力，属传统志怪范畴，风险较低,得胜坝桥夜景、草丛中黑影、汤圆摊灯火可营造氛围；李孝先前后状态对比制造反转,强烈推荐,情节贴近日常生活（晚归、熟人偶遇），灵异设定清晰，结局有余韵，极易引发观众‘细思极恐’共鸣
zby-v20-004,引鬼报冤,富商死后，其子与姑丈合谋霸占父亲留给妾室的财产，逼得妾室上吊自杀，最终冤魂借他人之手复仇成功。,遗产争夺引发命案，古代版‘房产+情感’纠纷警示录,孝道伦理 vs 贪婪私欲；死者遗愿 vs 生者侵占,弱女子被欺凌致死，死后冤魂不散终得昭雪,古代社会新闻·家庭伦理悲剧,"[""父亲留千金给小妾，儿子竟联手姑丈赶人夺财"", ""她哭祭亡夫却被拒之门外，五更悬梁成厉鬼"", ""买凶驱妾、转卖凶宅？这起清代遗产案太离谱""]",涉及自杀情节，需淡化具体方式，强调因果报应与道德警示,可呈现灵堂、封房、夜半鬼影、送鬼场景等视觉元素，突出对比——生前弱势与死后威势,强烈推荐,情节完整、冲突尖锐、结局有报应闭环，符合短视频强戏剧性需求
zby-v20-013,冤魂索命,官员为迎合上级减轻两名盗贼死罪，结果冤魂现身施压，迫使其坚持原判以平息怨气。,司法公正遭遇人情压力？清代法官亲历‘鬼证’坚守法律底线,官场潜规则 vs 司法正义；活人妥协 vs 死者冤屈,深夜书斋现无头鬼群跪，只为讨一个公道,古代志怪·司法奇谈,"[""他改判两名死囚，当晚房间挤满跪地冤魂"", ""清代法官：不是我不敢轻判，是鬼不同意"", ""无头鬼捧头站身边？这案子我必须按律办""]",涉及死刑判决，需聚焦程序正义而非暴力细节；避免渲染恐怖,昏暗书斋、烛火摇曳、模糊鬼影环绕，突出心理压迫感而非血腥,推荐,题材独特，将司法伦理与志怪结合，具思辨性和传播话题性
zby-v20-020,驴雪奇冤,新娘归宁返家途中遭豪强诱拐，与佃户之女同宿被害，后因一头驴牵出连环命案，揭开和尚被杀真相。,一头驴牵出三起命案！清代跨县连环凶杀案全记录,权势欺压 vs 底层女性安全；偶然巧合 vs 天理昭彰,新婚女子无辜惨死，靠一头驴找回公道,古代社会新闻·奇案追踪,"[""新娘骑驴回家，却走进死亡陷阱"", ""驴认主揭命案，秃头和尚尸体藏玄机"", ""奸情杀师、冒名顶替？这案子比小说还离谱""]",含性暗示与双重奸情情节，需隐晦处理，聚焦破案逻辑,岔路口、雨夜村庄、窗隙窥尸、掘尸现场、古庙避雨等场景具画面感,强烈推荐,多线交织、反转密集、破案逻辑清晰，极具短视频叙事张力
zby-v21-020,骗术巧报,商人好心搭陌生客，反被偷换三百金；骗子返程再搭同一船，慌乱中遗落赃物，反让失主暴富。,骗子自投罗网！清代‘搭便船’骗局遭遇天道好还,善心助人 vs 设局行骗；偶然巧合 vs 因果循环,你偷走我的钱，却把珍珠送上门,古代志怪·因果奇谭,"[""他好心让人搭船，箱子变瓦石"", ""骗子二次搭船，吓得跳水逃跑"", ""三百两变千金？这回报来得太快""]",无重大风险，但需避免美化‘以恶制恶’，强调巧合与天理,江上行舟、开箱惊愕、雨中搭客、翻查行囊等动作性强,推荐,短小精悍、节奏明快、结局爽感足，适合轻量级爆款短视频
zby-v22-019,负妻之报,丈夫病重，妻子愿以命换其寿；丈夫康复后续娶，前妻魂附婢女搅婚，终致其复发身亡。,违背亡妻誓言？清代男子续弦当晚床底现‘冷人’,承诺守信 vs 背信再娶；阴阳界限 vs 情感执念,她说‘你不必再娶’，他却在新婚夜被前妻‘躺中间’,古代志怪·婚姻誓约,"[""他答应不再娶，新婚夜床上多了个‘人’"", ""妻子替他死，他转身娶新人？报应来了"", ""床褥夹冷人！清代最吓人的婚礼事故""]",涉及疾病、死亡与灵异干扰婚姻，需避免宣扬迷信，侧重情感背叛后果,病榻诀别、城隍祷告、新婚红帐与冰冷身影对比强烈,谨慎,情节较单薄，核心冲突依赖超自然设定，现代共鸣较弱，易被误读为恐吓式道德说教
zby-v22-029,贞女诉冤,一名被诬陷通奸自尽的贞烈女子托梦显灵，向太守之子诉冤，最终沉冤得雪。,司法腐败与女性名誉权：古代‘贞节’案背后的权力交易与冤案平反,贞女拒奸致死却被父母受贿诬为通奸，地方官徇私枉法 vs. 鬼魂显灵推动正义,弱女子死后不屈，以鬼魂之身坚持申冤，唤起观众对司法公正与女性尊严的共情,古代奇案实录,"[""她死后显灵告状，只为洗清‘通奸’污名！"", ""父母收钱卖女儿清白？清代真实冤案曝光"", ""鬼魂夜访书房，揭开一桩贞女冤死案""]",涉及自杀、通奸指控，需避免渲染封建贞节观，强调司法纠错而非‘守节’价值,可设计书房夜风、白衣女子虚影、城隍庙夜审等场景，突出悬疑与肃穆氛围,强烈推荐,情节完整、冲突鲜明、结局正义伸张，兼具志怪元素与社会批判，适合短视频叙事
zby-v23-035,雷诛不孝,湖南一恶子虐待老母，生日当天因一碗面怒打母亲，遭天雷劈死，背现神秘篆字。,天理难容？现实版‘雷劈不孝子’事件引热议,极端不孝行为 vs. 天道报应（雷诛）,老人被亲生儿子当婢女使唤，一碗面引发天怒人怨，激发观众对孝道与家庭暴力的反思,天谴奇闻,"[""生日当天打骂老母，他被雷劈死街头！"", ""雷击尸体背现神字？清代真实‘天罚’记录"", ""邻居都看不下去了！这个儿子竟这样对待70岁母亲""]",宣扬‘天谴’可能强化迷信，需平衡呈现为民间因果叙事，避免鼓吹暴力私刑,可表现乌云压顶、雷光炸裂、焦黑尸体与围观人群，突出戏剧性与警示感,推荐,情节紧凑、道德冲突强烈，具视觉冲击力，但需注意避免过度渲染迷信色彩
zby-v23-050,雷诛吉翂,湖州一吃素念佛的十四岁少女突遭雷击身亡，背上显现‘唐吉翂’三字篆文。,好人为何遭雷劈？清代少女被雷击背后的‘前世因果’谜团,虔诚少女无端被雷诛 vs. 背上神秘文字暗示前世罪业,无辜少女惨死，乡人质疑天理，留下未解之谜引发观众好奇,轮回奇案,"[""吃素念佛11年，14岁少女竟被雷劈死？"", ""她背上出现三个字，揭开前世杀身之祸！"", ""雷公也搞错人了？清代最离奇‘误劈’案""]",内容简略，因果逻辑模糊，易被解读为宿命论或宗教宣传，缺乏明确社会议题支撑,可表现雷雨中少女倒地、背部特写篆文，但信息量少，画面易单薄,谨慎,原文仅65字，情节残缺，缺乏冲突细节与情感支点，难以支撑完整短视频叙事
zby-v24-001,长乐奇冤,寡妇掘出银锭祭财神，儿子拿去换猪头，途中银袱变血布包手指，牵出一桩百年无头尸案。,挖出祖宅藏银却卷入命案？清代‘猪头变人头’离奇冤狱,偶然发现地下银两 vs. 被卷入无法破解的陈年凶杀案,守节寡妇本欲改善生活，却害儿子入狱，无辜者陷入无解冤案，令人唏嘘,诡案档案,"[""买个猪头竟掏出人头？清代最诡异冤案！"", ""祖宅藏银变凶器，母子一夜成嫌犯"", ""银锭变手指！一场祭财神引发的百年悬案""]",涉及人头、断指等血腥元素，需淡化恐怖渲染，聚焦悬疑与司法困境,可设计床下青石、红缎银包、市集换物、县衙验尸等场景，节奏紧凑有反转,强烈推荐,情节离奇、层层反转、细节丰富，兼具民俗（财神）、悬疑、司法无力等多重看点
zby-v24-018,汉江冤狱,知县夜见无头鬼，被勾魂至阴司对质，因曾三次申冤而免罪，醒后辞官奉佛。,官员梦见冤鬼喊冤，醒来辞职：清代‘阴间问责’真实记录,阳间司法系统驳回冤案 vs. 阴间神明主持公道,清官虽无力翻案却心怀愧疚，被冤魂追责后余生忏悔，体现古代司法局限下的道德焦虑,阴司档案,"[""他梦见无头鬼告状，三天后差点没命！"", ""清代知县被冤魂拉去阴间对质，真相惊人"", ""三次申冤被驳回，冤鬼找上门！""]",强调阴司审判可能强化迷信，需落脚于古代司法制度缺陷与官员良知挣扎,可表现衙门夜影、无头鬼提头、阴府大殿等场景，营造幽冥氛围,推荐,志怪色彩浓，心理张力强，反映古代司法困境，但需注意避免过度玄学化
