id,title,collection,volume,source_volume_url,local_text_path,original_text_link,story_dynasty,story_type_primary,story_type_secondary,female_centrality,female_perspective,female_figures,female_agency,ending_type,moral_evaluation,feminist_angles,evidence_keywords,confidence,text_char_count
lzz-v01-013,偷桃,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-013/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-013/source.txt,未明,伦理/报应,,无,无明显女性视角,无显著女性形象,无,报应惩戒,因果报应,父权家族/宗法|婚姻/婚配制度|家庭暴力与虐待|贞节规训,殺|節,中,867
lzz-v01-014,種梨,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-014/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-014/source.txt,未明,术法/道术,,无,无明显女性视角,无显著女性形象,无,惊悚收束,礼教惩戒,女性欲望与婚恋自主|父权家族/宗法,,低,585
lzz-v01-015,勞山道士,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-015/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-015/source.txt,未明,术法/道术,,边缘,男性凝视主导,神女/仙女/龙女,低,婚恋团圆,礼教惩戒,婚姻/婚配制度|父权家族/宗法|男性凝视与欲望投射|贞节规训,妻|烈|神女/仙女/龙女,高,1070
lzz-v01-016,長清僧,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-016/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-016/source.txt,未明,术法/道术,,边缘,男性转述/旁观,妻妾/已婚女性,高,悲剧/消散,弱评价/异闻观照,婚姻/婚配制度|女性欲望与婚恋自主|妻妾/婢妾与阶层,逃|死|妻|妾,高,676
lzz-v01-017,蛇人,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-017/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-017/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,超脱成仙,弱评价/异闻观照,无明显女性主义切口,,低,1019
lzz-v01-018,斫蟒,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-018/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-018/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,惊悚收束,弱评价/异闻观照,无明显女性主义切口,,低,187
lzz-v01-019,犬奸,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-019/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-019/source.txt,未明,鬼魂/冥府,,边缘,男性转述/旁观,妻妾/已婚女性,中,异闻收束,礼教惩戒,婚姻/婚配制度|女性欲望与婚恋自主|家庭暴力与虐待,魂|殺|妻,中,446
lzz-v01-020,雹神,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-020/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-020/source.txt,未明,仙神/龙女,,无,无明显女性视角,无显著女性形象,无,惊悚收束,弱评价/异闻观照,妻妾/婢妾与阶层,,低,425
lzz-v01-021,狐嫁女,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-021/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-021/source.txt,未明,狐魅叙事,,关键,男性转述/旁观,婢女/侍女|狐女/狐仙,低,惊悚收束,弱评价/异闻观照,妻妾/婢妾与阶层|婚姻/婚配制度|父权家族/宗法,狐|女|嫁|婿|婢女/侍女|狐女/狐仙,高,1152
lzz-v01-022,嬌娜,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-022/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-022/source.txt,未明,妖怪/精魅,仙神/龙女,关键,男性凝视主导,妻妾/已婚女性|婢女/侍女|巫妪/婆子,中,异闻收束,弱评价/异闻观照,父权家族/宗法|婚姻/婚配制度|男性凝视与欲望投射|女性欲望与婚恋自主,嫁|妻,高,2691
lzz-v01-023,僧孽,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-023/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-023/source.txt,未明,术法/道术,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,礼教惩戒,女性欲望与婚恋自主,死,低,288
lzz-v01-024,妖術,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-024/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-024/source.txt,明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,家庭暴力与虐待|男性凝视与欲望投射,殺|死,中,891
lzz-v01-025,野狗,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-025/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-025/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,家庭暴力与虐待,,低,291
lzz-v01-026,三生,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-026/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-026/source.txt,魏晋南北朝,鬼魂/冥府,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,家庭暴力与虐待|女性欲望与婚恋自主|妻妾/婢妾与阶层|照护劳动/生育责任,鬼|魂|殺,中,807
lzz-v01-027,狐入瓶,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-027/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-027/source.txt,未明,狐魅叙事,,无,无明显女性视角,无显著女性形象,无,异闻收束,礼教惩戒,父权家族/宗法,狐,低,118
lzz-v01-028,鬼哭,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-028/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-028/source.txt,未明,鬼魂/冥府,,无,无明显女性视角,无显著女性形象,无,惊悚收束,弱评价/异闻观照,无明显女性主义切口,鬼,低,378
lzz-v01-029,真定女,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-029/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-029/source.txt,未明,杂志异闻,,边缘,男性转述/旁观,无显著女性形象,低,异闻收束,弱评价/异闻观照,婚姻/婚配制度|照护劳动/生育责任|父权家族/宗法,女,低,97
lzz-v01-030,焦螟,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-030/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-030/source.txt,未明,术法/道术,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,妻妾/婢妾与阶层|家庭暴力与虐待|照护劳动/生育责任,虐,中,383
lzz-v01-031,葉生,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-031/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-031/source.txt,未明,伦理/报应,鬼魂/冥府,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,婚姻/婚配制度|父权家族/宗法|家庭暴力与虐待|男性凝视与欲望投射,死|妻,中,1213
lzz-v01-032,四十千,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-032/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-032/source.txt,未明,伦理/报应,,无,无明显女性视角,无显著女性形象,无,报应惩戒,因果报应,照护劳动/生育责任|婚姻/婚配制度|男性凝视与欲望投射,死|妻,中,244
lzz-v01-033,成仙,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-033/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-033/source.txt,未明,仙神/龙女,伦理/报应,边缘,男性凝视主导,妻妾/已婚女性,中,惊悚收束,弱评价/异闻观照,女性欲望与婚恋自主|父权家族/宗法|家庭暴力与虐待|男性凝视与欲望投射,,中,2348
lzz-v01-034,新郎,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-034/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-034/source.txt,未明,伦理/报应,,边缘,男性转述/旁观,妻妾/已婚女性,低,悲剧/消散,弱评价/异闻观照,婚姻/婚配制度|父权家族/宗法|女性欲望与婚恋自主|妻妾/婢妾与阶层,嫁|妾|婿,高,617
lzz-v01-035,靈官,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-035/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-035/source.txt,未明,仙神/龙女,,无,无明显女性视角,无显著女性形象,无,异闻收束,礼教惩戒,父权家族/宗法,逃,低,309
lzz-v01-036,王蘭,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-036/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-036/source.txt,未明,妖怪/精魅,鬼魂/冥府,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,女性欲望与婚恋自主|婚姻/婚配制度|照护劳动/生育责任|父权家族/宗法,死|妻,中,1174
lzz-v01-037,鷹虎神,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-037/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-037/source.txt,未明,仙神/龙女,妖怪/精魅,无,无明显女性视角,无显著女性形象,无,惊悚收束,弱评价/异闻观照,婚姻/婚配制度,,低,224
lzz-v01-038,王成,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-038/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-038/source.txt,未明,仙神/龙女,狐魅叙事,关键,女性经验可见,妻妾/已婚女性|母亲/婆妪|狐女/狐仙,中,婚恋团圆,弱评价/异闻观照,婚姻/婚配制度|父权家族/宗法|女体妖魔化/他者化|女性欲望与婚恋自主,妻|妻妾/已婚女性|母亲/婆妪|狐女/狐仙,高,2384
lzz-v01-039,青鳳,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-039/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-039/source.txt,未明,伦理/报应,妖怪/精魅,边缘,女性经验可见,妻妾/已婚女性,低,悲剧/消散,弱评价/异闻观照,女性欲望与婚恋自主|父权家族/宗法|妻妾/婢妾与阶层|婚姻/婚配制度,死|妻|妾,高,2106
lzz-v01-040,畫皮,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-040/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-040/source.txt,未明,妖怪/精魅,鬼魂/冥府,边缘,女性经验可见,凡间女子|妻妾/已婚女性|母亲/婆妪,低,异闻收束,弱评价/异闻观照,婚姻/婚配制度|妻妾/婢妾与阶层|父权家族/宗法|家庭暴力与虐待,妻|妾,高,1666
lzz-v01-041,賈兒,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-041/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-041/source.txt,未明,伦理/报应,,无,无明显女性视角,无显著女性形象,无,报应惩戒,因果报应,父权家族/宗法|女性欲望与婚恋自主|妻妾/婢妾与阶层|婚姻/婚配制度,死,中,1652
lzz-v01-042,蛇癖,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-042/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-042/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,无明显女性主义切口,,低,95
lzz-v02-001,金世成,聊斋志异,聊斋志异·卷2,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC02%E5%8D%B7,stories/lzz-v02-001/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v02-001/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,惊悚收束,礼教惩戒,婚姻/婚配制度,救,低,228
lzz-v02-002,董生,聊斋志异,聊斋志异·卷2,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC02%E5%8D%B7,stories/lzz-v02-002/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v02-002/source.txt,未明,仙神/龙女,妖怪/精魅,关键,女性经验可见,妻妾/已婚女性|巫妪/婆子,中,悲剧/消散,弱评价/异闻观照,女性欲望与婚恋自主|婚姻/婚配制度|父权家族/宗法|妻妾/婢妾与阶层,殺|死|妻|妾,高,1362
lzz-v02-003,齕石,聊斋志异,聊斋志异·卷2,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC02%E5%8D%B7,stories/lzz-v02-003/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v02-003/source.txt,未明,杂志异闻,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,父权家族/宗法,死,低,97
lzz-v02-004,廟鬼,聊斋志异,聊斋志异·卷2,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC02%E5%8D%B7,stories/lzz-v02-004/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v02-004/source.txt,未明,鬼魂/冥府,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,女性欲望与婚恋自主|家庭暴力与虐待|父权家族/宗法,鬼|城隍|拒|縊|死,高,250
lzz-v02-005,陸判,聊斋志异,聊斋志异·卷2,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC02%E5%8D%B7,stories/lzz-v02-005/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v02-005/source.txt,未明,妖怪/精魅,鬼魂/冥府,边缘,女性经验可见,婢女/侍女,高,超脱成仙,弱评价/异闻观照,婚姻/婚配制度|父权家族/宗法|女性欲望与婚恋自主|男性凝视与欲望投射,嫁|妻|婿,高,2611
lzz-v02-006,嬰寧,聊斋志异,聊斋志异·卷2,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC02%E5%8D%B7,stories/lzz-v02-006/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v02-006/source.txt,未明,妖怪/精魅,,边缘,女性经验可见,凡间女子|妻妾/已婚女性|婢女/侍女,中,婚恋团圆,礼教惩戒,婚姻/婚配制度|父权家族/宗法|女性欲望与婚恋自主|妻妾/婢妾与阶层,嫁|妻|妾,高,4099
lzz-v02-007,聶小倩,聊斋志异,聊斋志异·卷2,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC02%E5%8D%B7,stories/lzz-v02-007/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v02-007/source.txt,未明,妖怪/精魅,伦理/报应,关键,女性经验可见,妻妾/已婚女性|女鬼/冤魂,中,婚恋团圆,弱评价/异闻观照,婚姻/婚配制度|父权家族/宗法|家庭暴力与虐待|妻妾/婢妾与阶层,殺|妻|妾|妻妾/已婚女性|女鬼/冤魂,高,3085
lzz-v02-008,義鼠,聊斋志异,聊斋志异·卷2,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC02%E5%8D%B7,stories/lzz-v02-008/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v02-008/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,无明显女性主义切口,死,低,150
lzz-v02-009,地震,聊斋志异,聊斋志异·卷2,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC02%E5%8D%B7,stories/lzz-v02-009/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v02-009/source.txt,清,公案/申冤,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,家庭暴力与虐待|男性凝视与欲望投射,溺,低,357
lzz-v02-010,海公子,聊斋志异,聊斋志异·卷2,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC02%E5%8D%B7,stories/lzz-v02-010/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v02-010/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,女性欲望与婚恋自主|男性凝视与欲望投射|妻妾/婢妾与阶层|婚姻/婚配制度,死|妾,中,493
